link;price;date;address
/realestateandhomes-detail/5319-N-Camac-St_Philadelphia_PA_19141_M39688-08124;160000.0;Jul 7, 2023;5319 N Camac St, Philadelphia, PA 19141
/realestateandhomes-detail/231-E-Westmoreland-St_Philadelphia_PA_19134_M39696-83064;60000.0;Jul 6, 2023;231 E Westmoreland St, Philadelphia, PA 19134
/realestateandhomes-detail/4113-Lawndale-St_Philadelphia_PA_19124_M36247-07159;80000.0;Jul 6, 2023;4113 Lawndale St, Philadelphia, PA 19124
/realestateandhomes-detail/7302-Elbow-Ln_Philadelphia_PA_19119_M49573-79604;453600.0;Jul 6, 2023;7302 Elbow Ln, Philadelphia, PA 19119
/realestateandhomes-detail/220-Rock-St_Philadelphia_PA_19128_M35388-06013;301000.0;Jul 6, 2023;220 Rock St, Philadelphia, PA 19128
/realestateandhomes-detail/1228-Gerritt-St_Philadelphia_PA_19147_M49452-27757;365000.0;Jul 6, 2023;1228 Gerritt St, Philadelphia, PA 19147
/realestateandhomes-detail/636-Jackson-St_Philadelphia_PA_19148_M37355-54995;309000.0;Jul 6, 2023;636 Jackson St, Philadelphia, PA 19148
/realestateandhomes-detail/1100-Vine-St-Apt-1207_Philadelphia_PA_19107_M32604-13311;175000.0;Jul 6, 2023;1100 Vine St Apt 1207, Philadelphia, PA 19107
/realestateandhomes-detail/1303-W-Erie-Ave_Philadelphia_PA_19140_M34425-70490;43000.0;Jul 6, 2023;1303 W Erie Ave, Philadelphia, PA 19140
/realestateandhomes-detail/3124-N-Judson-St_Philadelphia_PA_19132_M31972-37756;175000.0;Jul 6, 2023;3124 N Judson St, Philadelphia, PA 19132
/realestateandhomes-detail/1055-S-50th-St_Philadelphia_PA_19143_M43086-84892;370000.0;Jul 6, 2023;1055 S 50th St, Philadelphia, PA 19143
/realestateandhomes-detail/7365-Walnut-Ln_Philadelphia_PA_19138_M46274-41470;305000.0;Jul 6, 2023;7365 E Walnut Ln, Philadelphia, PA 19138
/realestateandhomes-detail/1342-E-Sharpnack-St_Philadelphia_PA_19150_M33461-54755;135000.0;Jul 6, 2023;1342 E Sharpnack St, Philadelphia, PA 19150
/realestateandhomes-detail/1708-Fontain-St_Philadelphia_PA_19121_M42527-69346;570000.0;Jul 6, 2023;1708 Fontain St, Philadelphia, PA 19121
/realestateandhomes-detail/9030-Wesleyan-Rd_Philadelphia_PA_19136_M38988-35982;360000.0;Jul 6, 2023;9030 Wesleyan Rd, Philadelphia, PA 19136
/realestateandhomes-detail/1802-S-Etting-St_Philadelphia_PA_19145_M46580-49953;180000.0;Jul 6, 2023;1802 S Etting St, Philadelphia, PA 19145
/realestateandhomes-detail/419-Shawmont-Ave-Apt-D_Philadelphia_PA_19128_M41351-19576;218000.0;Jul 6, 2023;419 Shawmont Ave Apt D, Philadelphia, PA 19128
/realestateandhomes-detail/1529-S-Clarion-St_Philadelphia_PA_19147_M32117-16538;469000.0;Jul 6, 2023;1529 S Clarion St, Philadelphia, PA 19147
/realestateandhomes-detail/3278-Tilton-St_Philadelphia_PA_19134_M30544-21916;218000.0;Jul 6, 2023;3278 Tilton St, Philadelphia, PA 19134
/realestateandhomes-detail/5938-N-11th-St_Philadelphia_PA_19141_M38986-33205;215000.0;Jul 6, 2023;5938 N 11th St, Philadelphia, PA 19141
/realestateandhomes-detail/1231-E-Washington-Ln_Philadelphia_PA_19138_M37944-13113;299190.0;Jul 6, 2023;1231 E Washington Ln, Philadelphia, PA 19138
